Name,Price,Adress,img_link
Lince,70000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2323612_uploaded_image1_1592765525.jpg
Poules bleu Hollande,2000,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_2336310_uploaded_image1_1592955606.jpg
Lapins,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2349641_uploaded_image1_1593167061.jpg
Poule de race,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2351149_uploaded_image1_1593181470.jpg
Colvert,25000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2373373_uploaded_image1_1593556758.jpg
Poussins de caille,500,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3882380_uploaded_image1_1663498641.jpg
Poussin brahmane,12500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2421069_uploaded_image1_1594340902.jpg
Pigeon King Blanc,75000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4471585_uploaded_image1_1700864393.jpg
Lapin,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4966470_uploaded_image1_1727557573.jpg
Poulet,3000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2450669_uploaded_image1_1594987392.jpg
Poussîns,480,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2455108_uploaded_image1_1595083998.jpg
Lapin femelle,25000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2501399_uploaded_image1_1596221963.jpg
Pigeon voyageur,7000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg
Pigeon voyageur,7000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg
Paons,5000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2511822_uploaded_image1_1596551448.jpg
Pigeon allemand,50000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2516109_uploaded_image1_1596644250.jpg
Lapin nain,30000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Lapin nain,30000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Pigeons dragon blanc sec & voyageur,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2561021_uploaded_image1_1597934615.jpg
Pigeons cravaté chinois,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2566760_uploaded_image1_1598102409.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Poulet frisées,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4816360_uploaded_image1_1719645541.jpg
Bramah  - hermineh  -frises blancs,25000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_2591465_uploaded_image1_1598970772.jpg
Pigeon voyageur,7000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4222723_uploaded_image1_1684515810.jpg
Pigeon ordinaire,1000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2604620_uploaded_image1_1599388255.jpg
Paire Cohen Barman,65000,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_2605030_uploaded_image1_1599401534.jpg
Pigeon - Couple Texen,35000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg
Pigeon - Couple Texen,35000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg
Pigeons Boulant De Saxe adultes,40000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2617019_uploaded_image1_1599763487.jpg
Pigeons voyageur,7000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4816363_uploaded_image1_1719645676.jpg
Pigeon - Couple Texen,35000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg
Poule Brahma hermnée,100000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3357145_uploaded_image1_1632869295.jpg
Lapin nain,30000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Lapin nain,30000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Poule Cochin cailloutée,180000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2641987_uploaded_image1_1600702005.jpg
Lapin géant Angoura,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2644118_uploaded_image1_1600776918.jpg
Pigeon - Couple Texen,35000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg
Pigeons frisés milanais,200000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165971_uploaded_image1_1680795516.jpg
Pigeon Mondain,85000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3986519_uploaded_image1_1669815997.jpg
Poules Bleu Hollande,5000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4877982_uploaded_image1_1722858918.jpg
Brahmanes de pure race - peruches ondulés,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2678983_uploaded_image1_1602106099.jpg
Lapin métisse,10000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2683357_uploaded_image1_1602258164.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Poulet Cochin blanc,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2687766_uploaded_image1_1602445033.jpg
Pigeon,25000,"Gibraltar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2689453_uploaded_image1_1602511661.jpg
Couple texan,35000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2695680_uploaded_image1_1602716686.jpg
Pigeons frisés milanais,200000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165971_uploaded_image1_1680795516.jpg
Mondains blancs,200000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2739851_uploaded_image1_1604571811.jpg
Coq Brahmane,45000,"Louga, Sénégal",https://images.coinafrique.com/thumb_3725108_uploaded_image1_1654262429.jpg
Pigeon Boulan,15000,"Louga, Sénégal",https://images.coinafrique.com/thumb_4277905_uploaded_image1_1688318584.jpg
Pigeon boulant pomeranie,60000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_2753142_uploaded_image1_1605047412.jpg
Couple pigeon mondain blanc,70000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853197_uploaded_image1_1721514569.jpg
Poulet de chair,3500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4509252_uploaded_image1_1703175319.jpg
Couple lapin nain,60000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3779800_uploaded_image1_1657474190.jpg
Pigeons texans,15000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4134077_uploaded_image1_1678808506.jpg
Pigeons Mondain,200000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4653298_uploaded_image1_1711039158.jpg
Coq Cochin blanc,35000,"Thies, Sénégal",https://images.coinafrique.com/thumb_2850705_uploaded_image1_1608816820.jpg
Poulet de chair,3000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3812639_uploaded_image1_1659524524.jpg
Poule cochin,40000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_2907921_uploaded_image1_1611416785.jpg
Couple poulet Brahmâ,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3369356_uploaded_image1_1633438053.jpg
Coq Brahmâ blanc,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2917722_uploaded_image1_1611862785.jpg
Poulet Brahmâ blanc,30000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2917728_uploaded_image1_1611862925.jpg
Pigeon Karavaty chinoise,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921677_uploaded_image1_1612093526.jpg
Paire pigeon Romain,80000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921690_uploaded_image1_1612093907.jpg
Paire pigeon Coschoi,70000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921695_uploaded_image1_1612094191.jpg
Paire pigeon Boulons,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921717_uploaded_image1_1612095131.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Pigeon Laor,60000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3058782_uploaded_image1_1618401720.jpg
Pigeon Lahore,40000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2921833_uploaded_image1_1612100438.jpg
Poulet de chair,3000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3175790_uploaded_image1_1623855618.jpg
Pigeon King Blanc,75000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4471585_uploaded_image1_1700864393.jpg
Poussin brahmâ blanc hermine,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2950013_uploaded_image1_1613239360.jpg
Poussin brahmâ blanc hermine,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2950013_uploaded_image1_1613239360.jpg
Poussins fermiers,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2950193_uploaded_image1_1613251191.jpg
Poussin brahman,3000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_2950921_uploaded_image1_1613311102.jpg
Pigeon Cokier,45000,"M'bour, Sénégal",https://images.coinafrique.com/thumb_2954851_uploaded_image1_1613494967.jpg
Femelle lapin demi sang + cage,40000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464349_uploaded_image1_1700417993.jpg
Poulet,2500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2976666_uploaded_image1_1614589003.jpg
Lapin Nain,30000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_2979256_uploaded_image1_1614674197.jpg
Lapins Angoura,15000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3521996_uploaded_image1_1642019964.jpg
Poussins de Batman,10000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2989976_uploaded_image1_1615159441.jpg
Poulet pondeuse,3500,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3000537_uploaded_image1_1615668903.jpg
Pigeon Château Rouge,50000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3063568_uploaded_image1_1618595933.jpg
Jeune king,50000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3005849_uploaded_image1_1615939888.jpg
Pigeon Château Rouge,50000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3063568_uploaded_image1_1618595933.jpg
Poules bleus hollandais,6500,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3009280_uploaded_image1_1616101333.jpg
Poulet du pays,3500,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4807968_uploaded_image1_1719229010.jpg
Pigeons voyageurs,2000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg
Trio dindes rouge,130000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3012683_uploaded_image1_1616280245.jpg
Poulet de chair,3000,"Touba, Sénégal",https://images.coinafrique.com/thumb_3020570_uploaded_image1_1616677661.jpg
Poulet de chair,3000,"Touba, Sénégal",https://images.coinafrique.com/thumb_3020570_uploaded_image1_1616677661.jpg
Coq cochin,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4030993_uploaded_image1_1672682272.jpg
Cochin blanche,65000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3025104_uploaded_image1_1616923906.jpg
