web-scraper-order,web-scraper-start-url,containers,containers-href,Name,Price,Adress,img_link
"1732707977-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","60 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/trio-bantam-de-pekin-1415870","Trio Bantam de Pékin","60 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png"
"1732707980-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","50 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-1415899","Cochin et Brahma","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4401630_uploaded_image1_1696382057.jpg"
"1732707984-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-race-1417714","Poulets Hollande","6 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3788366_uploaded_image1_1658082013.jpg"
"1732707986-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-hermine-7-jours-1432855","Poussin hermine - 7 jours","15 000 CFA","Sénégal","https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png"
"1732707988-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1461888","Poule Brahma","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4993341_uploaded_image1_1728920307.jpg"
"1732707991-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/males-bantam-de-pekin-1480111","Males Bantam de Pékin","15 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png"
"1732707994-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1521236","Poulets Fermiers","10 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4942161_uploaded_image1_1726204258.jpg"
"1732707997-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201","Brahmans Herminé et Cochins","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3868279_uploaded_image1_1662589600.jpg"
"1732707999-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","90 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132","Oies","90 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1584132_uploaded_image2_1580714620.25.png"
"1732708002-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500","Femelle cochin bleu","30 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png"
"1732708004-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","55 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136","Poules Bleu Hollande","5 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4877982_uploaded_image1_1722858918.jpg"
"1732708007-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385","Blond Panoramin","40 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png"
"1732708009-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","10 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-1687460","Lapin","80 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4296184_uploaded_image1_1689472721.jpg"
"1732708012-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","250 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-1691196","Paon - pigeon","35 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg"
"1732708014-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpington-fauve-1699722","Coq Orpington Fauve","35 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_1699722_uploaded_image1_1582581938.31.png"
"1732708017-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","65 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1712742","Pigeons","65 000 CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png"
"1732708020-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","5 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-orpington-1716103","Poussin Orpington","5 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716103_uploaded_image1_1582837127.36.png"
"1732708022-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","25 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-1723625","Coq","25 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1723625_uploaded_image1_1582972350.31.png"
"1732708025-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","25 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-1732205","Lapin Angora","25 000 CFA","Thies Nord, Thiès, Sénégal","https://images.coinafrique.com/thumb_1732205_uploaded_image1_1583152160.0.png"
"1732708028-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","20 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-bantam-1773437","Males Bantam de Pékin","15 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png"
"1732708030-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","60 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804515","Pigeon texan paon indien","60 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1804515_uploaded_image1_1584398280.63.png"
"1732708033-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","60 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804522","Pigeon texan - Paon indien","60 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1804522_uploaded_image1_1584398352.13.png"
"1732708036-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-indien-1804679","Paon indien","30 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1804679_uploaded_image1_1584402291.56.png"
"1732708039-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 700CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1804847","Poulets de chair","1 500 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg"
"1732708041-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cop-brahma-1812172","Cop Brahma","40 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1812172_uploaded_image1_1584528622.9.png"
"1732708044-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","13 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831098","Pigeons voyageurs","2 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg"
"1732708046-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","13 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831100","Pigeons voyageurs","2 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg"
"1732708049-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","3 000CFA","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1842198","Poulets de chairs","3 500 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4612683_uploaded_image1_1708957200.jpg"
"1732708052-85","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-boulan-1856511","Pigeon Boulan","15 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_4277905_uploaded_image1_1688318584.jpg"
