Name,Price,Adress,img_link
Cailles,2000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405018_uploaded_image1_1635264107.jpg
Paon bleu adulte,300000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3372722_uploaded_image1_1633568000.jpg
Trio de paon bleu,450000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3389732_uploaded_image1_1634436997.jpg
Perruches ondulées,12000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg
Cailles,2000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405018_uploaded_image1_1635264107.jpg
Oie géant,450000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3646953_uploaded_image1_1649560934.jpg
Canards,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056116_uploaded_image1_1674103896.jpg
Couple dinde rouge,90000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3425196_uploaded_image1_1636231334.jpg
Dindes,100000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169875_uploaded_image1_1681057517.jpg
Poussins  d’oies,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg
Paon,290000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4277277_uploaded_image1_1688258720.jpg
Hamster,15000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg
Cochon dinde,45000,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg
Cochon dinde,45000,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg
Cochon dinde,45000,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg
Bouc Espagnol,150000,"Louga, Sénégal",https://images.coinafrique.com/thumb_3523752_uploaded_image1_1642113362.jpg
Hamster,15000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg
Cheval,500000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3569117_uploaded_image1_1644951974.jpg
Dindons,175000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056115_uploaded_image1_1674103633.jpg
Poussin caille,500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3576048_uploaded_image1_1645409801.jpg
Caille,8000,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3607957_uploaded_image1_1647266236.jpg
Chaton Scotish Fold,750000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg
Taurillon laitier,1000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3613432_uploaded_image1_1647552342.jpg
Cochons,15000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3614166_uploaded_image1_1647608880.jpg
Hamster,15000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg
Chaton angora,180000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg
Oie géant,450000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3646953_uploaded_image1_1649560934.jpg
Chaton Gimalayen Siamois,250000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4333502_uploaded_image1_1691932427.jpg
Caille,2000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3679001_uploaded_image1_1651592167.jpg
Chaton angora,180000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg
Paire colverts de Rouen,15000,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3686752_uploaded_image1_1652029317.jpg
Hamster,15000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg
Perruches ondulées,12000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg
Sacs de foin - Ngogne,5000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3747916_uploaded_image1_1655548507.jpg
Paire Oie,130000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3763969_uploaded_image1_1656542478.jpg
Veaux,200000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3775233_uploaded_image1_1657130525.jpg
Couple Hamster,45000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3779809_uploaded_image1_1657474571.jpg
Hamster dorée,15000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4110101_uploaded_image1_1677403384.jpg
Veau,300000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3784229_uploaded_image1_1657796861.jpg
Cailles,100,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3797181_uploaded_image1_1658618385.jpg
Peruche ondulée,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3803986_uploaded_image1_1659036881.jpg
Vache,1000000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3804681_uploaded_image1_1659094431.jpg
Hamster dorée,15000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4110101_uploaded_image1_1677403384.jpg
Vache,65000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3850590_uploaded_image1_1661716395.jpg
Paon,140000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804686_uploaded_image1_1718999173.jpg
Cailles,2500,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_3905361_uploaded_image1_1664880986.jpg
Chaton Scotish Fold,750000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg
Paons bleus,400000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916692_uploaded_image1_1665568760.jpg
Anes,500000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916725_uploaded_image1_1665569939.jpg
Poisson Aquarium,8500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg
Dinde,45000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4170236_uploaded_image1_1681079402.jpg
Paon,400,"Touba, Sénégal",https://images.coinafrique.com/thumb_4226444_uploaded_image1_1684797786.jpg
Perruches ondulées,12000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg
Chèvre,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3985611_uploaded_image1_1669761997.jpg
Chat persan hymalayen,350000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4002094_uploaded_image1_1670612752.jpg
Chaton Persan,400000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4004300_uploaded_image1_1670782309.jpg
Perroquet inséparable,60000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4724298_uploaded_image1_1714756962.jpg
Jument,550000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4029052_uploaded_image1_1672496436.jpg
