web-scraper-order,web-scraper-start-url,containers,containers-href,Name,Price,Adress,img_link
"1732649309-62","https://sn.coinafrique.com/categorie/chiens?page=9","50 000CFA","https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265","Femelles  métisse rock / 4 chiennes","50 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg"
"1732649311-63","https://sn.coinafrique.com/categorie/chiens?page=9","Prix sur demande","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517","Chiots Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1732649314-64","https://sn.coinafrique.com/categorie/chiens?page=9","250 000CFA","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558","Chiot Berger Allemand","250 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg"
"1732649316-65","https://sn.coinafrique.com/categorie/chiens?page=9","300 000CFA","https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566","Chiot Can Corso","300 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg"
"1732649319-66","https://sn.coinafrique.com/categorie/chiens?page=9","300 000CFA","https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869","Berger malinois charboné","300 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg"
"1732649321-67","https://sn.coinafrique.com/categorie/chiens?page=9","130 000CFA","https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208","Chiots Berger Amstaff","130 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2082208_uploaded_image1_1588983812.jpg"
"1732649325-68","https://sn.coinafrique.com/categorie/chiens?page=9","200 000CFA","https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633","Chiots Yorkshire/caniche","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2107633_uploaded_image1_1589392557.jpg"
"1732649327-69","https://sn.coinafrique.com/categorie/chiens?page=9","290 000CFA","https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461","Chiots rockweile","290 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2119461_uploaded_image1_1589565559.jpg"
"1732649330-70","https://sn.coinafrique.com/categorie/chiens?page=9","300 000CFA","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223","Chiot Rottweiler","250 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg"
"1732649332-71","https://sn.coinafrique.com/categorie/chiens?page=9","300 000CFA","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616","","","",""
